"msg_id","sender","sender_id","reply_to_msg_id","date","msg_type","msg_content","has_mention","has_email","has_phone","has_hashtag","is_bot_command"
3,"Татар китабы йорты / Дом татарской книги","channel1451603907",-1,"2019-08-03 12:08:05","text","Сәлам🖐🏻Әйдәгез, танышабыз! Без - Татар китабы йорты. Без - яңа милли мәйдан. Без - татар яшьләренең икенче өе.  Нәрсә бар бездә? ✅ Татар әдәбияты тарихы музее ✅ Шәриф Камалның мемориаль фатиры ✅ Нәшрият ✅ Китапханә ✅ Китап кибете ✅ Коворкинг мәйдан ✅ Балалар мәйданчыгы  Безнең адрес: Островский урамы, 15нче йорт.  Кунакка килегез. Ишекләребез гел ачык😊  #татаркитабыйорты #домтатарскойкниги #housoftatarbook",0,0,0,1,0
4,"Татар китабы йорты / Дом татарской книги","channel1451603907",-1,"2019-08-05 09:03:56","text","Татар китабы йортының беренче катында ЗУР КИТАП КИБЕТЕ эшләп килә. ⠀ 📚Биредә - татар китапларының тулы ассортименты. 📚Биредә - 26 нәшрият чыгара торган китаплар. 📚Биредә - милли бизәкле сувенирлар продукциясе. 📚Биредә махсус консультант эшли. ⠀ 📌 Эш сәгатьләре:  Дүш. Ял көне  Сиш.-пәнҗ. 10.00-18.00  Җом.-якш. 14.00 - 20.00 ⠀ 📌 Безнең адрес: Островский урамы, 15 нче йорт",0,0,0,0,0
7,"Татар китабы йорты / Дом татарской книги","channel1451603907",-1,"2019-08-05 18:24:55","text","Бүген - журналист, язучы Мәдинә Маликованың туган көне. Мәдинә Габделхак кызы 1935 елның 5нче августында Сарман районы Мортыш Тамагы авылында дөньяга килә. 🔶 1949-1959 елларда башта Минзәлә педагогия училищесында, аннары Казан дәүләт педагогия институтында укый. 🔸1959-1964 елларда «Чаян» журналында - корректор, ә 1964 елдан башлап «Азат хатын» журналы редакциясендә әдәби хезмәткәр булып эшли. 1978 елдан ул «Азат хатын» журналының җаваплы секретаре вазифаларын башкара. 🔶Мәдинә Маликованың әдәби иҗат юлындагы беренче адымнары да журналистлык язмалардан башлана. 🔸1967 елда «Юлдашлар» исемле беренче хикәяләр җыентыгы басылып чыга. Язучы, заман тормышының төрле өлкәләренә мөрәҗәгать итеп, кешедәге рухи дөньяның серләрен, нечкәлекләрен ачарга, кешеләр арасындагы мөнәсәбәтләрнең катлаулылыгын анализлап, яшәешнең төп мәгънәсе һәм максаты үз идеалыңа, димәк, җәмгыятькә дә хезмәт итү икәнлеген расларга омтыла. 🔶М. Маликова детектив жанрында да уңышлы гына эшли. Аның маҗаралы повестьлары, жанр хасияте таләп иткәнчә, мавыктыргыч, киеренке вакыйга-сюжетка корылган һәм укучылар тарафыннан яратып укыла. 🔸1972 елдан СССР Язучылар союзы члены.  Татар китабы йорты Мәдинә апаны ихластан гомер бәйрәме котлый!  #татаркитабыйорты #домтатарскойкниги #әдәбикалендарь",0,0,0,1,0
8,"Татар китабы йорты / Дом татарской книги","channel1451603907",-1,"2019-08-05 18:26:42","text","ФАЯЗ ХУҖИНның туган көне!  🔶 ТР Фәннәр академиясенең мөхбир әгъзасы (2004), тарих фәннәре докторы, профессор. ТР ның атказанган фән эшлеклесе, ТР ның фән һәм техника өлкәсендәге Дәүләт премиясе лауреаты. 🔸Фәнни эшчәнлегенең төп юнәлешләре – Идел буе Болгар, Алтын Урда һәм Казан ханлыгы дәүләтләренең археологиясе һәм тарихы. 🔶 Укытучысы А.Х. Халиков белән берлектә Биләр шәһәрлегендә күп еллар дәвамында казу эшләре алып баралар. Бу эшчәнлек төбәктәге урта гасыр шәһәрләрен өйрәнүдә яңа этап була. 🔸Фаяз Хуҗинның фәнни басмаларында тарихи һәйкәл стратиграфия һәм хронологиясенең бәхәсле мәсьәләләре хәл ителә, шәһәрнең монголларга кадәрге чорда үсеш динамикасы күзәтелә, Биләр-Болгар шәһәренең нигезе салыну вакытыннан алып аның башкала булуы турындагы фикер дәлилләнә. 🔶 1980-1990 нчы елларда тарихчы-галим Суар, Җүкәтау һәм Чаллыда үткәрелгән экспедицияләргә җитәкчелек итә, Кирмән һәм Алабуга шәһәрлекләрендә казу эшләрен оештыра. Хезмәтләрендә урта гасыр шәһәрләренең яшен билгеләү методологик проблемалары, беренче чиратта, археологик чыганаклар комплексы нигезендә эшләнә. 🔸Аның җитәкчелегендә Кремльнең иң борынгы ныгытмалары, Казан ханнары мавзолейлары, Кол Шәриф мәчете хәрабәләре өйрәнелә. 🔶Фаяз Хуҗинның Казан шәһәренең барлыкка килү вакытын археологик дәлилләүгә багышланган хезмәтләре үз илебез һәм чит ил белгечләре арасында югары бәя һәм танылу ала. 🔸450дән артык фәнни һәм фәнни-популяр хезмәт, шул исәптән 19 китап һәм монография, студентлар һәм урта мәктәп укучылары өчен дәреслек һәм кулланмалар авторы. 🔶Фаяз Хуҗинның фәнни редакциясендә 25 кә якын китап әзерләнә һәм дөнья күрә, шулар арасында 2006 елда дөнья күргән «Татар тарихы» җиде томлык хезмәтнең икенче томы ‒ «Идел буе Болгар дәүләте һәм Бөек дала» фундаменталь хезмәте дә бар. 🔸Алты фән кандидаты һәм бер фән докторы хәзерли. 🔶«Казанның 1000 еллыгы истәлегенә» медале белән бүләкләнгән.  #татаркитабыйорты #домтатарскойкниги #туганкөн",0,0,0,1,0
9,"Татар китабы йорты / Дом татарской книги","channel1451603907",-1,"2019-08-07 11:13:33","text","Бүген шагыйрә Резеда Гобәеваның туган көне! ⠀ 🔸 1988 елның 7нче августында Балтач районы Арбор авылында туа. 2011 елда Казан дәүләт университетынының татар филологиясе һәм тарихы факультетын тәмамлый. ⠀ 🔸«Гади була алмый ярату…» исемле китап авторы. ⠀ 🔸Резедә Гобәва шигырьләренә язылган җырларны татар җырчылары башкаруында да, Г.Камал исемендәге Татар дәүләт академия театры спектакльләрендә дә ишетергә мөмкин. ⠀ 🔸Әдәби тәрҗемә белән шөгыльләнә. ⠀ 🔸Тормыш иптәше драматург, режиссер Илгиз Зәйниев белән кыз һәм ул тәрбияләп үстерәләр.  #татаркитабыйорты #домтатарскойкниги #туганкөн #әдәбикалендарь",0,0,0,1,0
10,"Татар китабы йорты / Дом татарской книги","channel1451603907",-1,"2019-08-07 12:16:15","text","Бездә би-ик тәмле вакыйга!  Нәниләрне кунакка чакырабыз🥰  Яшь әни, «Бану маҗаралары» китабы авторы, китапка гашыйк җан Лилия Исхакова балаларны үз дөньясына кунакка көтә!👶🏻👧🏼🥰 Лилия апабыз «Айны ашаган тычкан»ны кунакка алып киләчәк. Моннан тыш Кем «ЫРРР» дия🧐, «Дошман бәлеше»🤭 тәмле буламы, дигән сорауларга җавап табарбыз😉  Нәрсә: #storytelling Кайчан: 9нчы август Ничәдә: 18.00да Кем өчен: 3-6 яшьлек нәниләргә  Керү ирекле  Кадерле әти-әниләр, чарага сез дә чакырулы😉🥰 #бәхетлебалачак бездән башлана🥰  #татаркитабыйорты #домтатарскойкниги #татаркитабыйортычарасы  Язылу өчен телефон: 89196302843",0,0,1,1,0
11,"Татар китабы йорты / Дом татарской книги","channel1451603907",-1,"2019-08-08 09:11:37","text","Тарихчы, археолог Фаяз Хуҗин белән Татар китабы йортында очрашуга чакырабыз. Татар тарихындагы ак таплар, өйрәнелмәгән сәхифәләр. Сөйләшү шул хакта булачак.  Үзегезне кызыксындырган барлык сорауларга да җавап таба алачаксыз.  Кайчан: 9 август 2019, 18:30  Кайда: Островский ур., 15 нче йорт  Керү ирекле  ___  Приглашаем вас на встречу с известным историком, археологом Фаязом Хузиным в Дом татарской книги. Он расскажет о белых пятнах в тюркско-татарской истории, о неизвестных исторических фактах и коллизиях.  Вы сможете найти ответы на все интересующие вас вопросы.  Когда: 9 августа, 18:30 Где: ул. Островского, дом 15  Вход свободный.  #татаркитабыйорты  #домтатарскойкниги  #очрашу #встреча",0,0,0,1,0
12,"Татар китабы йорты / Дом татарской книги","channel1451603907",-1,"2019-08-08 14:00:37","text","Китап турында  ФОРЗАЦ (нем.: Vorsatz) – китап конструкциясе элементы, икегә бөкләнеп яртысы китап тышының эчке ягына, икенче яртысы китап блогына ябыштырылган кәгазь бите.  🔶 Гадәттә, декоратив-бизәлеш – тышлык белән китап блогын ябыштыру эзләрен яшерү функциясен үти. 🔸Форзацка кайчакта төрле белешмәләр урнаштырыла. 🔶 Форзац тоташ кәгазьле һәм җыелма булырга, төрле төсле кәгазьдән эшләнергә яки китап тематикасына бәйле сюжетлы рәсемнәр төшерелгән булырга мөмкин. 🔸 Татар кулъязма китапларында форзац өчен гади кәгазь урынына мәрмәр кәгазь яки обойлар кулланылган. 🔶 Форзацта китапны сатып алу тарихы, китап ияләренең язмалары һәм мөһерләре булырга мөмкин.  #татаркитабыйорты #домтатарскойкниги #китаптурында",0,0,0,1,0
17,"Татар китабы йорты / Дом татарской книги","channel1451603907",-1,"2019-08-09 15:36:22","text","9нчы август - Халыкара китап яратучылар көне!  Бәйрәм белән❤️  #татаркитабыйорты #домтатарскойкниги #денькниголюбов #әдәбикалендарь",0,0,0,1,0
19,"Татар китабы йорты / Дом татарской книги","channel1451603907",-1,"2019-08-11 22:05:21","text","Җырчы, композитор, драматург Зөлфәт Хәкимнең туган көне!  1960 елның 11 августында Татарстанның Түбән Кама районы Шәңгәлче авылында туа.  1980 елларда сәнгатькә һәм әдәбиятка килә. 80нче еллар ахырыннан башлап, төрле журналларда шигырьләре, сатирик хикәяләре басыла.  Авторның 1995-1996 елларда иҗат ителгән «Гөнаһ» исемле романы тирән фәлсәфилеккә, психологизмга корылган булуы белән башка әсәрләрдән аерылып тора.  Зөлфәт Хәкимнең Идел буе Болгары дәүләте тарихына багышланган «Мәңгелеккә изге сәфәр» пьеса-кыйссасы, тормышыбызның иҗтимагый-сәяси вакыйгаларга багышланган, тоталитар системаның асылын ачкан «Җүләрләр йорты» трагикомедиясе, халыкның тормыш-көнкүрешен тасвирлаган «Карак», «Килә ява, килә ява», «Мин төш күрдем», «Чапты атым Казанга» һ.б. пьесалары яңа форма, стиль, образлар системасы белән аерылалар.  Зөлфәт Хәким — тирән фәлсәфи эчтәлекле мәкаләләр һәм афоризмнар авторы да.  2003 елда татар драматургиясен һәм театр сәнгатен үстерү максаты белән Татарстан күләмендә үткәрелгән «Яңа татар пьесасы» бәйгесендә З.Хәкимнең «Телсез күке» драмасы җиңү яулый.  2009 елда Зөлфәт Хәким, башка иҗатчылар белән берлектә, ул язган «Телсез күке» театраль романы буенча сәхнәләштерелгән спектакль өчен Г.Тукай исемендәге Татарстан дәүләт премиясенә лаек булды.  #татаркитабйорты #домтатарскойкниги #әдәбикалендарь",0,0,0,1,0
