"msg_id","date","msg_content"
"msg_id","date","msg_content"
"398","2022-03-25 15:50:39","Ломаете голову, куда сходить на весенних каникулах?🤔   ✅ Дом татарской книги представляет вашему вниманию разнообразие программ. И родители, и дети уйдут от нас лишь с поднятым настроением! Приходите в наш музей за светлыми воспоминаниями!😍  #домтатарскойкниги #татаркитабыйорты #казанькудапойти #весенниеканикулы #родителиидети #казань #кудапойти #казанькудасходить #экскурсия #мастеркласс #квест #каллиграфия #музейноезанятие"
"406","2022-03-26 10:09:10","⚡️Вечер для любителей татарской мифологии  ✅ В Доме татарской книги сегодня состоится очередная встреча Казанского отделения Dark Romantic Club. Участники клуба прочтут  венок сонетов, посвященный персонажам татарской мифологии.  Вход свободный. 26 марта 2022 в 19.00 Островского, 15.  #домтатарскойкниги #татаркитабыйорты #казанькудапойти"
"505","2022-05-07 17:00:38","🌷 В четверг, 12 мая, в Доме татарской книги состоятся два мастер-класса.    1) На мастер-классе по византийской музыке будут представлены:  - элементы теории 📜  - основные гласы (лады) 🎼  - некоторые классические произведения 🎵   2) На мастер-классе по османской музыке мы будем разбирать классические произведения османской музыки (Türk Sanat, Türk Klasik Müziği) 🎼    Данный мастер-класс исключительно для музыкантов (вокал, ней, скрипка и любой инструмент, способный к исполнению макамата). Это – не лекция, а практическое занятие.   Условие участия: умение читать европейскую систему нотации.   📌 17:30-18:30 Мастер-класс по византийской музыке  📌 18:30-19:00 Знакомство с Домом татарской книги 📌 19:00-20:00 Мастер-класс по османской музыке    Ведущий — Спиридон Мелас, выпускник консерватории Сигхронон в Афинах по византийской музыке, учащийся османской музыке (ней) у греков и турков мастеров.    ✏ Записи и любые вопросы (в т.ч. о месте, стоимости и т.д.) к Спиридону."
"649","2022-07-04 14:47:01","В Доме — лето ☀️  Лето продолжается, а Дом татарской книги остается с вами! У нас нет долгих отпусков и перерывов, потому что гости и друзья — счастье нашего Дома ☺️  🏠 Следующие два месяца предлагаем вам побывать на наших специальных летних мероприятиях.  Для «сов» будут регулярно проводиться специальные ночные экскурсии. А «жаворонков» ждем на литературный завтрак в музее. Если вы соскучились по умным разговорам, приходите на маленькие лектории на балконе Дома, но знайте: на эксклюзивный формат места ограничены.  📚 Книжный магазин «Кулъязма» присоединяется к данной акции: лица, которые приобрели 3 книги в июле и августе, получат музейный билет в подарок.  Новости и сюрпризы на этом не заканчиваются, следите за нами в социальных сетях 😉  Подробнее в нашей группе Вконтакте"
"657","2022-07-07 17:00:15","Сегодня, 7 июля, в Доме татарской книги стартует летняя программа событий. В ней — ночные экскурсии, литературные завтраки, лекции на открытом воздухе, беседы на набережной озера Кабан и многое другое. Расписание и ссылка на регистрацию в новости  https://inde.io/news/58866-raspisanie-programma-letnih-sobytiy-v-dome-tatarskoy-knigi?utm_source=telegram"
"762","2022-08-26 12:05:23","#экспонат"
"860","2022-10-28 17:05:20","ДРУЗЬЯ, ВЫ ГОТОВЫ К САМОЙ НЕОБЫЧНОЙ КУЛЬТУРНОЙ НОЧИ? 🌚🌝  Впервые в Казани крупные центры культуры, искусства и моды проводят общую акцию «Ночь искусств» 🌃  Прекрасный праздник День народного единства превратится в фантастическую Ночь культурного единства. Концерты, открытия выставок, дефиле от театра мод, экскурсии, чтения стихов, мастер-классы, квесты, викторины и многое другое. Ночь культурного единства - это один большой перформанс с участием актёров, музыкантов, моделей, художников, популярных блогеров и медийных личностей.  ДЛЯ ВАС БУДЕТ ДЕЙСТВОВАТЬ  7⃣ КУЛЬТУРНЫХ ПЛОЩАДОК И 5️⃣9️⃣ СОБЫТИЙ НА ЛЮБОЙ ВКУС.        ПРОГРАММА МЕРОПРИЯТИЙ   И да, вас ждет еще один сюрприз! Начиная с 20.00 передвигаться по всем площадкам можно на том самом экскурсионном двухэтажном автобусе от City Sightseeing. Вам нужно будет всего лишь выбрать программу, приехать на нужную площадку и насладиться!🤗 А пока вы будете ехать в нужную точку - для вас будет проведена аудиоэкскурсия ☺    РАСПИСАНИЕ АВТОБУСА:   🚌20.00, 21.10, 22.15 – Национальный музей РТ (Площадь 1 Мая)    🚌20.15, 21.20, 22.25 – Музей А. М. Горького и Ф. И. Шаляпина (Горького, 10)    🚌20.25, 21.30, 22.35 – Музей Е. А. Боратынского (Горького, 25/28)    🚌20.40, 21.35 – Клуб «Шарык» (Татарстан, 8)   🚌20.50, 21.45 – Литературный музей Тукая (Тукая, 74)   🚌21.00, 22.00 – Казанский театр юного зрителя и Дом татарской книги (Островского, 10/Островского, 15)   ❗ДРУЗЬЯ, КОНЕЧНО ЖЕ, ВХОД НА ВСЕ МЕРОПРИЯТИЯ И ПОЕЗДКИ - БЕСПЛАТНЫЙ!!!😏❗️  А еще будут секретные гости - ХЕДЛАЙНЕРЫ. Кто они и во сколько выступают? Приходи и всё узнаешь!😏  До встречи!  _________ ПАРТНЕРЫ АКЦИИ:  🤝Экскурсионная сеть City Sightseeing   🤝Татарский академический театр им. Г. Камала и Клуб «Шарык»   🤝Татарский театр юного зрителя им. Г. Кариева   🤝Казанский театр юного зрителя   🤝Казанская государственная консерватория им. Н. Г. Жиганова  🤝ТАТАРКИНО   🤝Музей Е.А. Боратынского   🤝Музей А.М. Горького и Ф.И. Шаляпина   🤝Литературный музей Тукая   🤝Дом татарской книги   🤝Этно-фолк группа «Алпар»   🤝Театр моды «Ильдан лик»   🤝Музей-квартира Мусы Джалиля"
"920","2022-11-26 19:21:46","GAUGA🔥"
"945","2022-12-07 16:29:34","Актаныш туган як музеенда кунакта😊"
"972","2022-12-21 10:19:01","📝 Завтра завершается голосование за проекты, которые будут реализованы министерством культуры РТ в 2023 году. По результатам голосования набравшие наибольшее количество голосов проекты будут включены в План Министерства на 2023 год.  Давайте выберем проекты вместе. ☺  Внимание! Проголосовать можно не более трёх раз в каждом из направлений.   Голосование проходит по ссылке: https://forms.yandex.ru/u/6398d58102848f7131b7d842/  Ознакомиться подробнее с проектами.  Подведомственные учреждения министерства культуры РТ презентовали свои проекты Комиссии министерства в ноябре текущего года. Для дальнейшего участия в голосовании были отобраны ведущие музеи и театры республики. Учреждения культуры представили свои проекты по разным направлениям - «Выставочные проекты, экскурсии», «Конкурсы, фестивали, праздники», «Конференции, творческие лаборатории, встречи», «Дополнительные постановки»."
"986","2022-12-25 18:45:51","АлияНур🔥TATARBOY"
"988","2022-12-25 19:09:20","Ильдус Садыков 🎸"
"990","2022-12-25 19:21:50","AKBULAT🎉"
